experiment,configuration,rrid,address,operation,enable,configured,result
REF-M1-C,REF-C0,1,0x20000000,write,0,0,ALLOW
REF-M1-D,REF-C1,1,0x20000000,write,1,0,DENY
REF-M1-A,REF-C1,1,0x20000000,write,1,1,ALLOW
REF-M1-B,REF-C1,2,0x20000000,write,1,1,DENY
