task,z3_executable,z3_version,yosys,sby_revision,sby_version_string,sby_file,command,configured_depth,induction_success_step,sby_clock_s,sby_process_s,gnu_wall,gnu_max_rss_kB,assert_keyword_count_in_tb,result
sp08_rstb_prove,/home/mmr/ricv_paper/tools/z3/bin/z3,Z3 version 4.13.4 - 64 bit,Yosys 0.68+ git sha1 832843ad0-dirty,b1a1e98cba941ec8433f8dc27f416cd7bb7f14be (tag v0.68),unknown SBY version,formal/sby/sp08_rstb_prove.sby,"PATH=tools/z3/bin:$PATH /usr/bin/time -v python3 tools/SymbiYosys/sbysrc/sby.py -f -d OUT formal/sby/sp08_rstb_prove.sby",20 (not in .sby; smtbmc -t 20 default),3,28,37,0:28.24,322484,1,PASS
prod_arbiter_v2_prove,/home/mmr/ricv_paper/tools/z3/bin/z3,Z3 version 4.13.4 - 64 bit,Yosys 0.68+ git sha1 832843ad0-dirty,b1a1e98cba941ec8433f8dc27f416cd7bb7f14be (tag v0.68),unknown SBY version,IEEE_Access_End_to_End_Authorization_Proof_Closure/formal/configurations/prod_arbiter_v2_prove.sby,"same pinned PATH; sby -f -d OUT prod_arbiter_v2_prove.sby",24 (explicit in .sby),19,106,118,1:46.54,581920,34,PASS
noregrant_any_prove,/home/mmr/ricv_paper/tools/z3/bin/z3,Z3 version 4.13.4 - 64 bit,Yosys 0.68+ git sha1 832843ad0-dirty,b1a1e98cba941ec8433f8dc27f416cd7bb7f14be (tag v0.68),unknown SBY version,IEEE_Access_Any_Address_Regrant_Repair_and_Proof/formal/configurations/noregrant_any_prove.sby,"same pinned PATH; sby -f -d OUT noregrant_any_prove.sby",20 (explicit in .sby),11,48,82,0:49.05,515924,11,PASS
