test_id,project_commit,ibex_commit,cpu_privilege,cpu_operation,cpu_address,cpu_expected,cpu_observed,cpu_mcause,cpu_mepc,cpu_mtval,dma_requester_id,dma_operation,dma_address,dma_expected,dma_observed,cpu_request_cycle,dma_request_cycle,commit_cycle,winning_master,memory_before,memory_after,expected_memory,security_properties,result,classification,notes
IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,M,write,0x20000100,ALLOW,ALLOW,,,,,idle,,IDLE,IDLE,,,,CPU,0x22222222,0xB0010001,0xB0010001,baseline,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,U,load,0x20000100,LOAD_FAULT,mcause=5,5,00100182,20000100,,idle,,IDLE,IDLE,,,,,0x22222222,0x22222222,0x22222222,SP-01,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,U,store,0x20000100,STORE_FAULT,mcause=7,7,00100188,20000100,,idle,,IDLE,IDLE,,,,,0x22222222,0x22222222,0x22222222,SP-02,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,M,idle,,IDLE,IDLE,,,,0x02,write,0x20000100,DENY,DENY,,139,139,,0x22222222,0x22222222,0x22222222,SP-04/SP-05,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,M,idle,,IDLE,IDLE,,,,0x01,write,0x20000100,ALLOW,ALLOW,,146,146,DMA,0x22222222,0xA11D0005,0xA11D0005,authorized-DMA,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,U,store,0x20000100,STORE_FAULT,mcause=7,7,00100188,20000100,0x02,write,0x20000100,DENY,DENY,,139,139,,0x22222222,0x22222222,0x22222222,SP-02+SP-04+SP-05+SP-10,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,U,store,0x20000100,STORE_FAULT,mcause=7,7,00100188,20000100,0x01,write,0x20000100,ALLOW,ALLOW,,146,146,DMA,0x22222222,0xD00D0007,0xD00D0007,SP-02 attribution + authorized-DMA,PASS,SIMULATION_EVIDENCE,exit=0
IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,M,store,0x20000100,ALLOW,ALLOW,,,,0x02,write,0x20000100,DENY,DENY,,139,139,CPU,0x22222222,0xB0080008,0xB0080008,authorized-CPU + SP-04,PASS,SIMULATION_EVIDENCE,exit=0
