seed,test_id,reset_model,result,observed_expected_counterexample,unexpected_failure,observed,classification,replay_cmd,notes
28,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
29,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
30,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
31,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
32,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
33,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
34,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
35,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
36,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
37,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
