seed,test_id,project_commit,ibex_commit,cpu_observed,dma_observed,memory_after,expected_memory,result,classification,replay_cmd,notes
30,IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,ALLOW,0xD00D0007,0xD00D0007,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-07.elf",exit=0; scenario_space=COMP-01..08
31,IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,DENY,0xB0080008,0xB0080008,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-08.elf",exit=0; scenario_space=COMP-01..08
32,IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,IDLE,0xB0010001,0xB0010001,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-01.elf",exit=0; scenario_space=COMP-01..08
33,IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=5,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-02.elf",exit=0; scenario_space=COMP-01..08
34,IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-03.elf",exit=0; scenario_space=COMP-01..08
35,IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-04.elf",exit=0; scenario_space=COMP-01..08
36,IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,ALLOW,0xA11D0005,0xA11D0005,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-05.elf",exit=0; scenario_space=COMP-01..08
37,IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-06.elf",exit=0; scenario_space=COMP-01..08
38,IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,ALLOW,0xD00D0007,0xD00D0007,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-07.elf",exit=0; scenario_space=COMP-01..08
39,IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,DENY,0xB0080008,0xB0080008,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-08.elf",exit=0; scenario_space=COMP-01..08
