seed,test_id,project_commit,ibex_commit,cpu_observed,dma_observed,memory_after,expected_memory,result,classification,replay_cmd,notes
0,IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,IDLE,0xB0010001,0xB0010001,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-01.elf",exit=0; scenario_space=COMP-01..08
1,IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=5,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-02.elf",exit=0; scenario_space=COMP-01..08
2,IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-03.elf",exit=0; scenario_space=COMP-01..08
3,IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-04.elf",exit=0; scenario_space=COMP-01..08
4,IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,ALLOW,0xA11D0005,0xA11D0005,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-05.elf",exit=0; scenario_space=COMP-01..08
5,IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-06.elf",exit=0; scenario_space=COMP-01..08
6,IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,ALLOW,0xD00D0007,0xD00D0007,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-07.elf",exit=0; scenario_space=COMP-01..08
7,IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,DENY,0xB0080008,0xB0080008,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-08.elf",exit=0; scenario_space=COMP-01..08
8,IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,IDLE,0xB0010001,0xB0010001,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-01.elf",exit=0; scenario_space=COMP-01..08
9,IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=5,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-02.elf",exit=0; scenario_space=COMP-01..08
10,IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-03.elf",exit=0; scenario_space=COMP-01..08
11,IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-04.elf",exit=0; scenario_space=COMP-01..08
12,IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,ALLOW,0xA11D0005,0xA11D0005,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-05.elf",exit=0; scenario_space=COMP-01..08
13,IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-06.elf",exit=0; scenario_space=COMP-01..08
14,IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,ALLOW,0xD00D0007,0xD00D0007,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-07.elf",exit=0; scenario_space=COMP-01..08
15,IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,DENY,0xB0080008,0xB0080008,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-08.elf",exit=0; scenario_space=COMP-01..08
16,IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,IDLE,0xB0010001,0xB0010001,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-01.elf",exit=0; scenario_space=COMP-01..08
17,IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=5,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-02.elf",exit=0; scenario_space=COMP-01..08
18,IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-03.elf",exit=0; scenario_space=COMP-01..08
19,IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-04.elf",exit=0; scenario_space=COMP-01..08
20,IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,ALLOW,0xA11D0005,0xA11D0005,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-05.elf",exit=0; scenario_space=COMP-01..08
21,IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-06.elf",exit=0; scenario_space=COMP-01..08
22,IBEX-COMP-07,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,ALLOW,0xD00D0007,0xD00D0007,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-07.elf",exit=0; scenario_space=COMP-01..08
23,IBEX-COMP-08,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,DENY,0xB0080008,0xB0080008,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-08.elf",exit=0; scenario_space=COMP-01..08
24,IBEX-COMP-01,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,ALLOW,IDLE,0xB0010001,0xB0010001,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-01.elf",exit=0; scenario_space=COMP-01..08
25,IBEX-COMP-02,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=5,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-02.elf",exit=0; scenario_space=COMP-01..08
26,IBEX-COMP-03,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,IDLE,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-03.elf",exit=0; scenario_space=COMP-01..08
27,IBEX-COMP-04,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-04.elf",exit=0; scenario_space=COMP-01..08
28,IBEX-COMP-05,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,IDLE,ALLOW,0xA11D0005,0xA11D0005,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-05.elf",exit=0; scenario_space=COMP-01..08
29,IBEX-COMP-06,7500156fbf076766a283a280465046e8b9ff02b9,c61e11c1e416b9ce2d996013b444c8e558d35b2b,mcause=7,DENY,0x22222222,0x22222222,PASS,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/third_party/ibex/build/local_m7_m7_ibex_composed_0/sim-verilator/Vm7_ibex_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_composed/IBEX-COMP-06.elf",exit=0; scenario_space=COMP-01..08
