seq_id,model,configuration,reset_sequence,classification,unsafe_reachable,t_reset_assert,t_secure_ready,t_dma_enable,t_first_dma_accept,protection_init_latency,secure_ready_latency,notes
R16-seed18,RST-B,C1,"staggered_{'cpu_rst_n': 2, 'dma_rst_n': 1, 'ic_rst_n': 1, 'sec_rst_n': 3, 'iopmp_rst_n': 3}",EXPECTED_BY_MODEL,NO,0,10,-1,-1,-1,10,"delays={'cpu_rst_n': 2, 'dma_rst_n': 1, 'ic_rst_n': 1, 'sec_rst_n': 3, 'iopmp_rst_n': 3}; dma_err=0; seed=18; order=['cpu_rst_n', 'dma_rst_n', 'ic_rst_n', 'sec_rst_n', 'iopmp_rst_n']"
R16-seed19,RST-B,C1,"staggered_{'iopmp_rst_n': 3, 'cpu_rst_n': 2, 'ic_rst_n': 4, 'dma_rst_n': 2, 'sec_rst_n': 4}",EXPECTED_BY_MODEL,NO,0,15,-1,-1,-1,15,"delays={'iopmp_rst_n': 3, 'cpu_rst_n': 2, 'ic_rst_n': 4, 'dma_rst_n': 2, 'sec_rst_n': 4}; dma_err=0; seed=19; order=['iopmp_rst_n', 'cpu_rst_n', 'ic_rst_n', 'dma_rst_n', 'sec_rst_n']"
R16-seed20,RST-B,C1,"staggered_{'dma_rst_n': 2, 'sec_rst_n': 4, 'cpu_rst_n': 1, 'ic_rst_n': 0, 'iopmp_rst_n': 3}",EXPECTED_BY_MODEL,NO,0,10,-1,-1,-1,10,"delays={'dma_rst_n': 2, 'sec_rst_n': 4, 'cpu_rst_n': 1, 'ic_rst_n': 0, 'iopmp_rst_n': 3}; dma_err=0; seed=20; order=['dma_rst_n', 'sec_rst_n', 'cpu_rst_n', 'ic_rst_n', 'iopmp_rst_n']"
R16-seed21,RST-B,C1,"staggered_{'sec_rst_n': 2, 'dma_rst_n': 3, 'ic_rst_n': 1, 'cpu_rst_n': 3, 'iopmp_rst_n': 4}",EXPECTED_BY_MODEL,NO,0,13,-1,-1,-1,13,"delays={'sec_rst_n': 2, 'dma_rst_n': 3, 'ic_rst_n': 1, 'cpu_rst_n': 3, 'iopmp_rst_n': 4}; dma_err=0; seed=21; order=['sec_rst_n', 'dma_rst_n', 'ic_rst_n', 'cpu_rst_n', 'iopmp_rst_n']"
R16-seed22,RST-B,C1,"staggered_{'ic_rst_n': 1, 'cpu_rst_n': 0, 'sec_rst_n': 2, 'dma_rst_n': 0, 'iopmp_rst_n': 1}",EXPECTED_BY_MODEL,NO,0,4,-1,-1,-1,4,"delays={'ic_rst_n': 1, 'cpu_rst_n': 0, 'sec_rst_n': 2, 'dma_rst_n': 0, 'iopmp_rst_n': 1}; dma_err=0; seed=22; order=['ic_rst_n', 'cpu_rst_n', 'sec_rst_n', 'dma_rst_n', 'iopmp_rst_n']"
R16-seed23,RST-B,C1,"staggered_{'dma_rst_n': 3, 'iopmp_rst_n': 3, 'cpu_rst_n': 4, 'sec_rst_n': 2, 'ic_rst_n': 1}",EXPECTED_BY_MODEL,NO,0,13,-1,-1,-1,13,"delays={'dma_rst_n': 3, 'iopmp_rst_n': 3, 'cpu_rst_n': 4, 'sec_rst_n': 2, 'ic_rst_n': 1}; dma_err=0; seed=23; order=['dma_rst_n', 'iopmp_rst_n', 'cpu_rst_n', 'sec_rst_n', 'ic_rst_n']"
R16-seed24,RST-B,C1,"staggered_{'dma_rst_n': 1, 'ic_rst_n': 1, 'sec_rst_n': 0, 'iopmp_rst_n': 1, 'cpu_rst_n': 2}",EXPECTED_BY_MODEL,NO,0,5,-1,-1,-1,5,"delays={'dma_rst_n': 1, 'ic_rst_n': 1, 'sec_rst_n': 0, 'iopmp_rst_n': 1, 'cpu_rst_n': 2}; dma_err=0; seed=24; order=['dma_rst_n', 'ic_rst_n', 'sec_rst_n', 'iopmp_rst_n', 'cpu_rst_n']"
R16-seed25,RST-B,C1,"staggered_{'ic_rst_n': 3, 'iopmp_rst_n': 0, 'dma_rst_n': 2, 'sec_rst_n': 0, 'cpu_rst_n': 2}",EXPECTED_BY_MODEL,NO,0,7,-1,-1,-1,7,"delays={'ic_rst_n': 3, 'iopmp_rst_n': 0, 'dma_rst_n': 2, 'sec_rst_n': 0, 'cpu_rst_n': 2}; dma_err=0; seed=25; order=['ic_rst_n', 'iopmp_rst_n', 'dma_rst_n', 'sec_rst_n', 'cpu_rst_n']"
R16-seed26,RST-B,C1,"staggered_{'ic_rst_n': 1, 'sec_rst_n': 3, 'cpu_rst_n': 0, 'dma_rst_n': 4, 'iopmp_rst_n': 4}",EXPECTED_BY_MODEL,NO,0,12,-1,-1,-1,12,"delays={'ic_rst_n': 1, 'sec_rst_n': 3, 'cpu_rst_n': 0, 'dma_rst_n': 4, 'iopmp_rst_n': 4}; dma_err=0; seed=26; order=['ic_rst_n', 'sec_rst_n', 'cpu_rst_n', 'dma_rst_n', 'iopmp_rst_n']"
R16-seed27,RST-B,C1,"staggered_{'dma_rst_n': 0, 'sec_rst_n': 0, 'iopmp_rst_n': 2, 'ic_rst_n': 4, 'cpu_rst_n': 2}",EXPECTED_BY_MODEL,NO,0,8,-1,-1,-1,8,"delays={'dma_rst_n': 0, 'sec_rst_n': 0, 'iopmp_rst_n': 2, 'ic_rst_n': 4, 'cpu_rst_n': 2}; dma_err=0; seed=27; order=['dma_rst_n', 'sec_rst_n', 'iopmp_rst_n', 'ic_rst_n', 'cpu_rst_n']"
R16-seed28,RST-B,C1,"staggered_{'cpu_rst_n': 1, 'dma_rst_n': 1, 'ic_rst_n': 3, 'iopmp_rst_n': 3, 'sec_rst_n': 1}",EXPECTED_BY_MODEL,NO,0,9,-1,-1,-1,9,"delays={'cpu_rst_n': 1, 'dma_rst_n': 1, 'ic_rst_n': 3, 'iopmp_rst_n': 3, 'sec_rst_n': 1}; dma_err=0; seed=28; order=['cpu_rst_n', 'dma_rst_n', 'ic_rst_n', 'iopmp_rst_n', 'sec_rst_n']"
R16-seed29,RST-B,C1,"staggered_{'cpu_rst_n': 0, 'ic_rst_n': 4, 'iopmp_rst_n': 2, 'sec_rst_n': 3, 'dma_rst_n': 3}",EXPECTED_BY_MODEL,NO,0,12,-1,-1,-1,12,"delays={'cpu_rst_n': 0, 'ic_rst_n': 4, 'iopmp_rst_n': 2, 'sec_rst_n': 3, 'dma_rst_n': 3}; dma_err=0; seed=29; order=['cpu_rst_n', 'ic_rst_n', 'iopmp_rst_n', 'sec_rst_n', 'dma_rst_n']"
R16-seed30,RST-B,C1,"staggered_{'iopmp_rst_n': 4, 'sec_rst_n': 1, 'cpu_rst_n': 2, 'ic_rst_n': 0, 'dma_rst_n': 3}",EXPECTED_BY_MODEL,NO,0,10,-1,-1,-1,10,"delays={'iopmp_rst_n': 4, 'sec_rst_n': 1, 'cpu_rst_n': 2, 'ic_rst_n': 0, 'dma_rst_n': 3}; dma_err=0; seed=30; order=['iopmp_rst_n', 'sec_rst_n', 'cpu_rst_n', 'ic_rst_n', 'dma_rst_n']"
R16-seed31,RST-B,C1,"staggered_{'ic_rst_n': 1, 'iopmp_rst_n': 0, 'dma_rst_n': 1, 'cpu_rst_n': 0, 'sec_rst_n': 4}",EXPECTED_BY_MODEL,NO,0,6,-1,-1,-1,6,"delays={'ic_rst_n': 1, 'iopmp_rst_n': 0, 'dma_rst_n': 1, 'cpu_rst_n': 0, 'sec_rst_n': 4}; dma_err=0; seed=31; order=['ic_rst_n', 'iopmp_rst_n', 'dma_rst_n', 'cpu_rst_n', 'sec_rst_n']"
