experiment_id,configuration,cpu_authorized,dma_authorized,requester_id,operation,address,length,policy_transition,reset_sequence,expected,observed,security_property,result,seed,git_commit,notes
M2-CON-C8,PMP+IOPMP,1,1,0x1,cpu_w+dma_w,0x20000000,4,,,cpu_wins_or_serial,"cpu_err=0,dma_err=0,mem=0x66666666",SP-10,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,mem_before=0xdeadbeef arbitration=CPU_priority
M2-CON-C9,PMP+IOPMP,1,1,0x1,cpu_r+dma_w,0x20000000,4,,,serial_ok,"cpu_err=0,dma_err=0,mem=0x77777777",SP-10,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,mem_before=0xdeadbeef arbitration=CPU_priority
M2-CON-C10,PMP+IOPMP,1,1,0x1,cpu_w+dma_r,0x20000000,4,,,serial_ok,"cpu_err=0,dma_err=0,mem=0x88888888",SP-10,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,mem_before=0xdeadbeef arbitration=CPU_priority
M2-PT-PT1,PMP+IOPMP,,,,,,,DENY_before_request,,DENY,DENY,SP-07,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-PT-PT2,PMP+IOPMP,,,,,,,revoke_after_complete,,"first_ALLOW,second_DENY","first=ALLOW,second=DENY",SP-07,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-PT-PT3,PMP+IOPMP,,,,,,,ALLOW_to_DENY_inflight,,complete_under_admission_time,complete,"SP-07,SP-09",PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,txn_age_at_revoke=1
M2-PT-PT4,PMP+IOPMP,,,,,,,ALLOW_effective_before_request,,ALLOW,ALLOW,SP-07,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,cfg_write completes before dma admission; new policy visible
M2-PT-PT5,PMP+IOPMP,,,,,,,DENY_to_ALLOW,,DENY_then_ALLOW,"first=DENY,second=ALLOW",SP-07,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-RID-RID1,PMP+IOPMP,,,0x1,,,,,,ALLOW,ALLOW,SP-06,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-RID-RID2,PMP+IOPMP,,,0x2,,,,,,DENY,DENY,SP-06,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-RID-RID3,PMP+IOPMP,,,,,,,revoke_rid_after_admit,,complete_admitted,complete,"SP-06,SP-09",PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-RID-RID4,PMP+IOPMP,,,,,,,rid_change_inflight,,uses_admitted_rid,complete,SP-06,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-RID-RID5,PMP+IOPMP,,,,,,,,,ALLOW_then_DENY,"True,1",SP-06,PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,
M2-OUT-STALE-01,PMP+IOPMP,,,,,,,,,uses_stored_metadata,stored,"SP-06,SP-09",PASS,directed,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,txn_addr held at 0x20000000
M2-RND-SUMMARY,PMP+IOPMP,,,,randomized,,,,,no_sp_violation,0 failures of 200,"SP-02,SP-04,SP-10",PASS,42..241,096a984d3f96bb42a797fcbe94b9a2e937b8ed69,200 scenarios; reduced from 1000 for CI runtime
