seed,reset_model,cpu_release,dma_release,iopmp_release,sec_release,ic_release,early_dma_result,result,classification,observed,observed_expected_counterexample,unexpected_failure,replay
138,RST-A,35,11,20,29,38,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=35 +REL_DMA=11 +REL_IOPMP=20 +REL_SEC=29 +REL_IC=38 +C5_TEST=200
139,RST-B,23,39,22,38,21,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=23 +REL_DMA=39 +REL_IOPMP=22 +REL_SEC=38 +REL_IC=21 +C5_TEST=200
140,RST-A,11,34,24,14,37,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=11 +REL_DMA=34 +REL_IOPMP=24 +REL_SEC=14 +REL_IC=37 +C5_TEST=200
141,RST-B,32,29,26,23,20,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=32 +REL_DMA=29 +REL_IOPMP=26 +REL_SEC=23 +REL_IC=20 +C5_TEST=200
142,RST-A,20,24,28,32,36,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=20 +REL_DMA=24 +REL_IOPMP=28 +REL_SEC=32 +REL_IC=36 +C5_TEST=200
143,RST-B,8,19,30,8,19,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=8 +REL_DMA=19 +REL_IOPMP=30 +REL_SEC=8 +REL_IC=19 +C5_TEST=200
144,RST-A,29,14,32,17,35,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=29 +REL_DMA=14 +REL_IOPMP=32 +REL_SEC=17 +REL_IC=35 +C5_TEST=200
145,RST-B,17,9,34,26,18,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=17 +REL_DMA=9 +REL_IOPMP=34 +REL_SEC=26 +REL_IC=18 +C5_TEST=200
146,RST-A,38,37,36,35,34,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=38 +REL_DMA=37 +REL_IOPMP=36 +REL_SEC=35 +REL_IC=34 +C5_TEST=200
147,RST-B,26,32,38,11,17,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=26 +REL_DMA=32 +REL_IOPMP=38 +REL_SEC=11 +REL_IC=17 +C5_TEST=200
148,RST-A,14,27,40,20,33,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=14 +REL_DMA=27 +REL_IOPMP=40 +REL_SEC=20 +REL_IC=33 +C5_TEST=200
149,RST-B,35,22,9,29,16,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=35 +REL_DMA=22 +REL_IOPMP=9 +REL_SEC=29 +REL_IC=16 +C5_TEST=200
150,RST-A,23,17,11,38,32,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=23 +REL_DMA=17 +REL_IOPMP=11 +REL_SEC=38 +REL_IC=32 +C5_TEST=200
