variant,description,clock_period_ns,cells,post_route_area,area_overhead_vs_J0_pct,core_area,setup_wns_ns,hold_wns_ns,route_drc,gds
J0,Real Ibex baseline PMPEnable=0,20.0,15267,157366.0,0.0,271002,4.53151,0.410386,0,YES
J1,Real Ibex + architectural PMPEnable=1,20.0,25220,241200.0,53.27,416927,2.12892,0.415852,0,YES
J2,J1 + DMA + IOPMP + adapter + arbiter (RST-A),20.0,28002,277641.0,76.43,479567,0.91848,0.298201,0,YES
J3,J2 + fail-closed RST-B + domain reset,20.0,28258,280331.0,78.14,483051,1.26437,0.174777,0,YES
